
 exp_p = 0.731790, time = 1.328214, life_exp = 573.949900, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.732610, time = 1.336857, life_exp = 578.495520, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.730200, time = 1.321671, life_exp = 577.245400, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.730860, time = 1.455557, life_exp = 579.752640, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.731700, time = 1.325097, life_exp = 580.463780, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.730950, time = 1.343171, life_exp = 576.315660, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.730220, time = 1.318885, life_exp = 580.531340, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.731540, time = 1.326403, life_exp = 577.810460, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.732690, time = 1.334382, life_exp = 575.702800, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.730020, time = 1.326814, life_exp = 577.952260, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.730410, time = 1.303581, life_exp = 577.494580, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.732080, time = 1.344924, life_exp = 576.191680, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.732760, time = 1.314203, life_exp = 576.085400, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.732510, time = 1.332661, life_exp = 577.155780, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.731130, time = 1.323217, life_exp = 576.978360, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.728070, time = 1.319223, life_exp = 577.838500, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.729970, time = 1.322220, life_exp = 578.501820, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.734770, time = 1.324793, life_exp = 577.109920, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.731150, time = 1.346816, life_exp = 579.666100, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.730190, time = 1.747521, life_exp = 576.141040, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.731090, time = 1.342701, life_exp = 577.469340, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.729580, time = 1.344772, life_exp = 578.096360, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.730470, time = 1.365718, life_exp = 578.567660, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.731170, time = 1.408398, life_exp = 577.449780, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.731170, time = 1.405197, life_exp = 577.766100, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.732160, time = 1.347374, life_exp = 575.430540, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.731180, time = 1.377036, life_exp = 577.109800, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.730170, time = 1.350816, life_exp = 579.213820, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.731300, time = 1.416887, life_exp = 576.936980, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.731350, time = 1.359136, life_exp = 576.910940, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.730510, time = 1.370897, life_exp = 577.352400, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.729350, time = 1.366038, life_exp = 577.885200, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.730070, time = 1.394984, life_exp = 577.014180, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.732690, time = 1.354228, life_exp = 577.722760, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.731800, time = 1.341879, life_exp = 577.038420, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.730080, time = 1.335167, life_exp = 578.788520, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.732550, time = 1.323363, life_exp = 577.681680, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.729720, time = 1.296349, life_exp = 577.821720, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.729710, time = 1.359188, life_exp = 577.151000, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

